identifier,hz,nObjects,nTargets,cueDuration,gapDuration,SOA,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,wrongKeyFlag,RT
el,75,8,4,60,10,12,60,180,60,2,2,130,2,0,0,1183
el,75,8,4,60,10,12,60,180,60,2,3,168,2,1,0,1543
el,75,8,4,60,10,0,60,180,60,2,4,73,2,1,0,1343
el,75,8,4,60,10,96,60,180,60,2,5,161,1,0,0,1303
el,75,8,4,60,10,96,60,180,60,2,6,162,2,1,0,1063
el,75,8,4,60,10,12,60,180,60,2,7,89,2,1,0,903
el,75,8,4,60,10,3,60,180,60,2,8,107,2,0,0,943
el,75,8,4,60,10,96,60,180,60,2,9,77,1,1,0,1423
el,75,8,4,60,10,12,60,180,60,2,10,64,1,0,0,1063
el,75,8,4,60,10,0,60,180,60,2,11,147,1,0,0,1463
el,75,8,4,60,10,12,60,180,60,2,12,76,1,0,0,783
el,75,8,4,60,10,9,60,180,60,2,13,130,2,0,0,983
el,75,8,4,60,10,12,60,180,60,2,14,137,2,1,0,1303
el,75,8,4,60,10,96,60,180,60,2,15,73,1,0,0,1463
el,75,8,4,60,10,12,60,180,60,2,16,100,2,0,0,1383
el,75,8,4,60,10,0,60,180,60,2,17,109,2,0,0,1063
el,75,8,4,60,10,6,60,180,60,2,18,92,1,1,0,1263
el,75,8,4,60,10,9,60,180,60,2,19,102,1,0,0,742
el,75,8,4,60,10,0,60,180,60,2,20,146,2,0,0,1503
el,75,8,4,60,10,96,60,180,60,2,21,161,2,0,0,1463
el,75,8,4,60,10,3,60,180,60,2,22,97,1,0,0,902
el,75,8,4,60,10,9,60,180,60,2,23,170,1,0,0,1223
el,75,8,4,60,10,0,60,180,60,2,24,127,2,0,0,1823
el,75,8,4,60,10,12,60,180,60,2,25,139,2,1,0,983
el,75,8,4,60,10,6,60,180,60,2,26,101,1,0,0,1263
el,75,8,4,60,10,0,60,180,60,2,27,122,2,1,0,1103
el,75,8,4,60,10,9,60,180,60,2,28,70,2,1,0,983
el,75,8,4,60,10,96,60,180,60,2,29,172,2,0,0,1623
el,75,8,4,60,10,9,60,180,60,2,30,174,2,0,0,822
el,75,8,4,60,10,96,60,180,60,2,31,111,1,0,0,1183
el,75,8,4,60,10,6,60,180,60,2,32,69,2,0,0,1423
el,75,8,4,60,10,9,60,180,60,2,33,147,2,0,0,742
el,75,8,4,60,10,6,60,180,60,2,34,90,2,0,0,702
el,75,8,4,60,10,12,60,180,60,2,35,72,2,1,0,1343
el,75,8,4,60,10,9,60,180,60,2,36,113,2,0,0,903
el,75,8,4,60,10,96,60,180,60,2,37,156,1,0,0,983
el,75,8,4,60,10,6,60,180,60,2,38,167,1,1,0,1303
el,75,8,4,60,10,3,60,180,60,2,39,119,2,0,0,1503
el,75,8,4,60,10,0,60,180,60,2,40,93,1,0,0,1023
el,75,8,4,60,10,96,60,180,60,2,41,179,1,0,0,983
el,75,8,4,60,10,3,60,180,60,2,42,139,1,0,0,1103
el,75,8,4,60,10,0,60,180,60,2,43,127,1,0,0,862
el,75,8,4,60,10,3,60,180,60,2,44,147,2,0,0,1263
el,75,8,4,60,10,6,60,180,60,2,45,91,2,0,0,1383
el,75,8,4,60,10,9,60,180,60,2,46,126,1,0,0,1423
el,75,8,4,60,10,6,60,180,60,2,47,99,1,0,0,1583
el,75,8,4,60,10,96,60,180,60,2,48,168,2,0,0,1063
el,75,8,4,60,10,9,60,180,60,2,49,174,2,0,0,983
el,75,8,4,60,10,9,60,180,60,2,50,167,2,0,0,942
el,75,8,4,60,10,3,60,180,60,2,51,130,2,0,0,1903
el,75,8,4,60,10,3,60,180,60,2,52,106,2,0,0,783
el,75,8,4,60,10,3,60,180,60,2,53,97,1,1,0,703
el,75,8,4,60,10,3,60,180,60,2,54,71,2,0,0,943
el,75,8,4,60,10,12,60,180,60,2,55,157,2,0,0,743
el,75,8,4,60,10,96,60,180,60,2,56,80,2,0,0,983
el,75,8,4,60,10,96,60,180,60,2,57,110,1,0,0,1503
el,75,8,4,60,10,0,60,180,60,2,58,125,1,1,0,902
el,75,8,4,60,10,3,60,180,60,2,59,104,2,0,0,863
el,75,8,4,60,10,96,60,180,60,2,60,164,1,1,0,983
el,75,8,4,60,10,3,60,180,60,2,61,108,1,0,0,1143
el,75,8,4,60,10,12,60,180,60,2,62,163,1,0,0,903
el,75,8,4,60,10,12,60,180,60,2,63,110,1,0,0,902
el,75,8,4,60,10,6,60,180,60,2,64,117,1,0,0,1023
el,75,8,4,60,10,96,60,180,60,2,65,159,2,0,0,1503
el,75,8,4,60,10,96,60,180,60,2,66,176,1,0,0,1623
el,75,8,4,60,10,3,60,180,60,2,67,98,1,1,0,1303
el,75,8,4,60,10,96,60,180,60,2,68,176,2,0,0,1063
el,75,8,4,60,10,6,60,180,60,2,69,175,2,0,0,983
el,75,8,4,60,10,9,60,180,60,2,70,126,2,0,0,1383
el,75,8,4,60,10,96,60,180,60,2,71,164,2,0,0,903
el,75,8,4,60,10,9,60,180,60,2,72,142,2,0,0,943
el,75,8,4,60,10,96,60,180,60,2,73,104,1,0,0,782
el,75,8,4,60,10,6,60,180,60,2,74,108,1,0,0,823
